Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,uses
J2250,"Injection, midazolam hydrochloride, per 1 mg",Midazolam HCL*,Midazolam HCL*,"Midazolam is used before surgery or a procedure. It helps to cause drowsiness, decrease anxiety, and to decrease your memory of the surgery or procedure. This medication may also be used to help with anesthesia or to sedate people who need a tube or machine to help with breathing. Midazolam works by calming the brain and nerves. It belongs to a class of drugs known as benzodiazepines."
J2260,"Injection, milrinone lactate, 5 mg",Milrinone In 5% Dextrose*,Milrinone Lactate/D5W*,"This medication is used for the short-term treatment of heart failure. It works by making your heart beat stronger and by relaxing certain blood vessels so that the amount of blood that is pumped from the heart is increased. This effect may help with symptoms of heart failure (such as shortness of breath, tiredness)."
J2270,"Injection, morphine sulfate, up to 10 mg",Morphine Sulfate*,Morphine Sulfate*,This medication is used to treat severe pain. Morphine belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain.
J2274,"Injection, morphine sulfate, preservative-free for epidural or intrathecal use, 10 mg",Duramorph*,Morphine Sulfate/PF*,This medication is used to treat severe pain. Morphine belongs to a class of drugs known as opioid (narcotic) analgesics. It works in the brain to change how your body feels and responds to pain.
J2278,"Injection, ziconotide, 1 microgram",Prialt,Ziconotide Acetate,"This medication is a non-narcotic pain reliever that is used to treat ongoing pain when other treatments or medications cannot control your pain. Ziconotide works by blocking the nerves in the spinal cord that send pain signals. It decreases ongoing pain caused by cancer, AIDS, failed back surgery, multiple sclerosis, neuropathy, and other causes."
J2300,"Injection, nalbuphine hydrochloride, per 10 mg",Nalbuphine HCL,Nalbuphine HCL, 
J2310,"Injection, naloxone hydrochloride, per 1 mg",Naloxone HCL,Naloxone HCL,"This medication is used to treat known or suspected opioid (narcotic) overdose. Serious overdose symptoms may include unusual sleepiness, unusual difficulty waking up, or breathing problems (ranging from slow/shallow breathing to no breathing). Other symptoms of overdose may include very small ""pinpoint"" pupils, slow heartbeat, or low blood pressure. If someone has serious overdose symptoms but you are not sure if he or she has overdosed, give this medication right away anyway, since lasting slow/shallow breathing may cause permanent damage to the brain or death. Naloxone belongs to a class of drugs known as opioid antagonists. It works by blocking the effects of the opioid in the brain. This medication may not work as well to block the effects of certain types of opioids (mixed agonist/antagonists such as buprenorphine, pentazocine). With these types of opioids, blocking may be incomplete or you may need a higher dose of naloxone. Treatment of opioid overdose should also include breathing treatment (such as oxygen given through tubes in the nose, mechanical ventilation, artificial respiration)."
J2315,"Injection, naltrexone, depot form, 1 mg",Vivitrol,Naltrexone Microspheres,"This medication is used to treat alcohol abuse. It is used only in people who have been able to stop drinking for some time before starting treatment with naltrexone. You should not be drinking when you start naltrexone. It can help people drink less alcohol or stop drinking altogether. Naltrexone works in the brain to decrease the desire to drink. It does not work like some other treatments for alcohol abuse (e.g., disulfiram). It will not make you sick when taken with alcohol. This medication is also used to prevent relapse to opioid abuse, after opioid detoxification. It works by blocking the action of opioids. This medication must not be used in people currently taking opiates, including methadone. Doing so can cause sudden withdrawal symptoms. Naltrexone belongs to a class of drugs known as opiate antagonists. It is used as part of a complete treatment program for alcohol or opioid abuse (e.g., counseling, 12-step program, lifestyle changes)."
J2323,"Injection, natalizumab, 1 mg",Tysabri,Natalizumab,"This medication is used to treat a certain type of multiple sclerosis (relapsing multiple sclerosis-MS). It is not a cure for MS, but it is thought to help by preventing your immune system from attacking the nerves in your brain and spinal cord. It helps decrease the number of episodes of worsening and may prevent or delay disability. Natalizumab is also used to treat a bowel condition called Crohn's disease (CD) when it is moderate to severe and/or keeps coming back. It is not a cure for CD, but it is thought to work by preventing your immune system from causing inflammation/swelling within your bowels. Natalizumab is a protein called a monoclonal antibody."
J2353,"Injection, octreotide, depot form for intramuscular injection, 1 mg",Sandostatin Lar*,"Octreotide Acetate,mi-Spheres*","This medication is a long-acting form of octreotide. Octreotide is used to treat severe watery diarrhea and sudden reddening of the face and neck caused by certain types of tumors (e.g., carcinoid tumors, vasoactive intestinal peptide tumors) that are found usually in the intestines and pancreas. The symptoms occur when these tumors make too much of certain natural substances (hormones). This medication works by blocking the production of these hormones. By decreasing watery diarrhea, octreotide helps to reduce the loss of body fluids and minerals. Octreotide is also used to treat a certain condition (acromegaly) that occurs when the body makes too much of a certain natural substance called growth hormone. Treating acromegaly helps reduce the risk of serious problems such as diabetes and heart disease. Octreotide works by decreasing the amount of growth hormone to normal levels. This drug is not a cure for these conditions. This medication is usually used with other treatment (e.g., surgery, radiation, other drugs)."
J2357,"Injection, omalizumab, 5 mg",Xolair,Omalizumab,"Omalizumab is used to control and prevent symptoms (such as wheezing and shortness of breath) caused by asthma that is due to year-round allergens. Controlling symptoms of asthma helps you maintain your normal activities and cuts down on time lost from work or school. Omalizumab is also used to treat hives from an unknown cause (chronic idiopathic urticaria-CIU). This medication must be used regularly to be effective. It does not work right away. If an asthma attack occurs, use your quick-relief inhaler (such as albuterol, salbutamol) as prescribed."
J2358,"Injection, olanzapine, long-acting, 1 mg",Zyprexa Relprevv,Olanzapine Pamoate,"Olanzapine injection is used to treat a certain mental/mood disorder (schizophrenia). Olanzapine helps you to think more clearly, feel less nervous, and take part in everyday life. It may also help to decrease hallucinations (hearing/seeing things that are not there). Extended-release olanzapine injection is a long-acting psychiatric medication called an atypical antipsychotic. It works by helping to restore the balance of certain natural substances in the brain. Talk to the doctor about the risks and benefits of treatment (especially when used in teenagers). See also Warning/Precautions sections."
